root_tweet_id,thread_size,conversation,pseudo_intent,human_label
1376064,2,"CUSTOMER: I actually cancelled @115821 prime tonight. Amazon logistics and @amazonhelp are why. Never thought it was possible. Wow.

AMAZON: @440334 I'm sorry you had a poor experience. Without giving any account/personal info, what issues were you having? ^SJ",Delivery Issue,Account / Access / Security
130215,4,"CUSTOMER: Amazonミュージックの90年代プレイリスト聴いてると青春時代が走馬灯のように駆け巡り、仕事が進まんw https://t.co/6zrPdpEJOZ

AMAZON: @145369 ご利用いただきありがとうございます。ぜひ懐かしさを感じてください😁 EK

CUSTOMER: @AmazonHelp 酸いも甘いも堪能させていただきます😁👍

AMAZON: @145369 （´-`）.｡oO ( ドンピシャ世代のスタッフです。同じく甘酸っぱい思い出がよみがえってきました😭 ぜひお楽しみくださいませ～💿🎶 )HM",Other / Unclear,Other / Unclear
982344,11,"CUSTOMER: @115850 I am not getting this number, why? https://t.co/hsYSon6Pap

AMAZON: @352915 Sorry about that. Kindly get in touch with us here: https://t.co/xmpG2ysTnu and we’ll be glad to help you. ^NS

CUSTOMER: @AmazonHelp At least understand the issue you idiot, copycat. Its your mistake, not mine... what are you going to help, moron

AMAZON: @352915 I get your concern. Please allow our team to check this for you. Kindly connect with them using the previous link. ^VN

CUSTOMER: @AmazonHelp for what you idiot, then what is your job??? just check the image again and use your brain, stupid

AMAZON: @352915 We'll not be able to access your account over twitter, Jinsen. Please connect with us and we'll get it checked. ^HD

CUSTOMER: @AmazonHelp Get lost idiot... All are fools

AMAZON: @352915 I understand you are upset. Please contact us via the link provided to you, we would certainly help you. ^MD

CUSTOMER: @AmazonHelp You idiot, good for nothing. This has nothing to do with me or my account. Check the agents number in the image. You fool it is not 1/2

AMAZON: @352915 I do get your concern regarding the delivery agents number, we'd like to get this checked. Hence as informed earlier 1/2 ^EM

AMAZON: @352915 kindly reach out to our support team in the link provided, we'll look into it and help you further. 2/2 ^EM",Delivery Issue,Delivery Issue
1540467,2,"CUSTOMER: Time to cancel @115821 prime until ur couriers can actually get me my packages on time, or at all.Nothing but problems with AZL. @AmazonHelp

AMAZON: @477422 I'm sorry for the poor experience! Please provide more information here: https://t.co/WV75PdaSLE so we can take a closer look ^TN",Delivery Issue,Order Management
206934,2,"CUSTOMER: @115830 Yo, what's this?! I was told guaranteed delivery between 6-10pm https://t.co/8bkq60xfib

AMAZON: @164999 Thanks for reaching out! Please contact us here so we can look into this with you: https://t.co/qy3J24VGxb ^GG",Delivery Issue,Delivery Issue
249944,3,"CUSTOMER: @118919  folks looks like u famed delivery model is showing sign of cracking... last 4 order returned back ... that too for noida !!

AMAZON: @175394 Sorry about the bad experience. I'll be sure to pass along your feedback internally. 1/2^MS

AMAZON: @175394 You must've received an email with reason for the return, please check that and revert for updates. 2/2^MS",Delivery Issue,Delivery Issue
493509,2,"CUSTOMER: @119356 My Order with Tracking ID 216278212094 has been ""delivered"" as per Amazon.in but I'm clueless about the whereabouts of the parcel. Help ?

AMAZON: @232646 I'm sorry about the conflicting scan codes. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll assist you accordingly. ^GD",Delivery Issue,Delivery Issue
1959513,4,"CUSTOMER: @AmazonHelp hello, I recently purchased 2x digital £20 vouchers for Xbox live. On the page where you print them off, they are both there, but both links send me the same 25 digit code. Please assist?

AMAZON: @581266 I am sorry to hear this Ben. Can I ask have you received an email from us with the claim codes? Can you please check your spam/junk folder as it may have been directed there.^GA

CUSTOMER: @AmazonHelp I have an email, it directs me to 'your games and software' page. But clicking on either of them to print, just one of the codes prints out.

AMAZON: @581266 Hey Ben, we don't have access to your account here. Can you please contact us: https://t.co/JzP7hlA23B so we can have a look there for you.^MA",Account / Access / Security,Account / Access / Security
2298721,4,"CUSTOMER: @119625  why aren't @15710 episodes after s06e10 not available? When will they be uploaded?

AMAZON: @667259 We will continue to add new content. Keep checking https://t.co/FYM9PIZOR8 where we highlight the latest movies and TV shows we have available. ^RB

CUSTOMER: @AmazonHelp But I took the membership primarily to watch @15710 . Request you to please the more episodes soon.

AMAZON: @667259 We have not made any announcements yet, Shubham. Please stay tuned for updates on this. ^KS",Delivery Issue,Delivery Issue
2636892,2,"CUSTOMER: Wann hört @116316 endlich auf Pakete mit #DPD  zu versenden?
Paket wurde einfach vor die, für jeden zugängliche Haustüre gelegt. Direkt daneben ist ein Geschäft mit Publikumsverkehr.

AMAZON: @744268 Bestellungsbezogene Reklamationen nimmt der Kundenservice gerne entgegen: https://t.co/ohyvGrpvrY Wir haben über Twitter leider keinen Einblick in dein Kundenkonto. ^BL",Other / Unclear,Other / Unclear
1211101,8,"CUSTOMER: @AmazonHelp umm hello. i was trying to buy something with a gift card but it wont proceed. may i know why i cant continue? https://t.co/jfH9jLJWgd

AMAZON: @404276 Do you have a payment card added to your a/c? You will need one added but your gift card will be charged first. ^PK

CUSTOMER: @AmazonHelp after i add my credit card, the thing im going to purchase wont use my credit card but my gift card instead, right?

AMAZON: @404276 By default, the option to use the gift card will be selected at check out. Just make sure not to ""uncheck"" the box. ^MJ

CUSTOMER: @AmazonHelp okay thank you so much💕✨

AMAZON: @404276 You're very welcome! If you have further questions or concerns, please be sure to let us know! We're here to help. ^TG

CUSTOMER: @AmazonHelp oh one more think. do i have to use amazon visa or i can use other visa like ocbc?

AMAZON: @404276 You can use any of these accepted payment methods: https://t.co/J5zpBjTOmY ^TH",Payment / Billing,Payment / Billing
2531044,4,"CUSTOMER: @AmazonHelp when u  pre-order a game and it says it won’t arrive until a week after the release date but amazon take the money for it anyway https://t.co/so4dsBX5Pd

AMAZON: @720436 Hi Robert, sorry to hear that. Is it possible that you're seeing an authorisation on your statement: https://t.co/B8ZRoLCIIo? ^JJ

CUSTOMER: @AmazonHelp Hi, the parcel was dispatched which triggered the payment but I got an email saying the delivery would be delayed until Friday, a week later

AMAZON: @720436 We want to make sure you receive your order. If it doesn't arrive by 21:00 on Friday, let us know: https://t.co/JzP7hlA23B ^RA",Delivery Issue,Delivery Issue
215238,2,"CUSTOMER: And yes that deserve two tweets and a follow up tweet @115821 you guys are amazing at customer service #grateful #helpful #thanks

AMAZON: @167140 We love to hear this! Thanks for reaching out and showing your appreciation! Let us know if you need anything in the future! 😍^KJ",Digital Content,Digital Content
349453,3,"CUSTOMER: Hi @AmazonHelp , my order id is 406-5211780-7866716, it is in hub from last 36 hours &amp; on hold, can u contact them and make it deliver ?

AMAZON: @199167 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is the public. (2/2)^AU

AMAZON: @199167 Usually the products are delivered by the estimated date of delivery. Could you tell me if we've missed on it? (1/2)^AU",Delivery Issue,Delivery Issue
2606660,6,"CUSTOMER: @115821 I pre ordered the new Transformers DVD which should of arrived 2day.. but it hasn’t arrived?! What’s the point in pre ordering?! 😡😡

AMAZON: @510648 Did your order have Release Date Delivery as an option: https://t.co/hCqru3OFre? If so, did you select it at checkout? ^AF

CUSTOMER: @AmazonHelp Release date was today and an email sent yesterday saying it was dispatched and will be with me tomorrow

AMAZON: @510648 What did the delivery date show on your confirmation email? You can check here: https://t.co/O6PmL37tKg ^BE

CUSTOMER: @AmazonHelp Monday 30th October

AMAZON: @510648 We want to help! Let's check out options together, please call or chat in here:  https://t.co/JzP7hlA23B ^SG",Delivery Issue,Delivery Issue
876264,2,"CUSTOMER: @115821 Needs to stop messing around and deliver my bed before I get home. Don't make me give your driver the stalk the mailman treatment.

AMAZON: @328037 I'm sorry for the trouble! Can you please confirm who the carrier is: https://t.co/Y5jpI9gRhE? ^ST",Other / Unclear,Other / Unclear
2889188,4,"CUSTOMER: Email von @116316:

- Bestellung gestrichen -

""Der folgende Titel ist leider nicht lieferbar: ..."" 

und was hier steht: ""Auf Lager"" https://t.co/C2bwUWxGYw

AMAZON: @801074 Hi, leider kann ich über Twitter nicht in dein Amazon Kundenkonto einsehen, deshalb kann ich auch nicht sagen, warum deine Bestellung storniert wurde. Melde dich doch bitte bei meinen Kollegen vom Kundenservice. Erreichen kannst du sie hier: https://t.co/ohyvGrpvrY ^AM

CUSTOMER: @AmazonHelp Danke erstmal für die Antwort bzw. Schnelle Hilfe, aber leider muss ich ab einer bestimmten Stelle: ""Artikel auswählen"". Das Problem ist in meinen Bestellungen ist es nicht mehr drinne.. :/

AMAZON: @801074 Du kannst auch auf ""Wählen Sie eine andere Bestellung"" klicken. Darunter gibt es dann eine blau hinterlegte Option ""Ich finde meine Bestellung nicht"". Du kannst danach in die Eingabezeile die Bestellnummer einfügen. :) ^SK",Account / Access / Security,Account / Access / Security
2834236,2,"CUSTOMER: i love you @115821

AMAZON: @788973 We're always here to help! :) ^AZ",Other / Unclear,Other / Unclear
2405201,4,"CUSTOMER: You know what makes me mad is when you are an @115821 prime member and it takes MORE than two days to get stuff 😑😑

AMAZON: @691796 I'm sorry about the poor experience, Megan! Is there an order that's late? If so, what is the current status and who is the carrier? If unsure, you can check here: https://t.co/Y5jpI9gRhE Keep us posted on your delivery! ^FR

CUSTOMER: @AmazonHelp It said it was suppose to be delivered sunday then it changed to Monday now it says if it's not there By Thursday to contact Amazon. It's getting shipped by lasership

AMAZON: @691796 Thanks for the update, if the shipment hasn't arrived by the date provided please get in touch with us here:  https://t.co/hApLpMlfHN ^GS",Delivery Issue,Delivery Issue
2133381,6,"CUSTOMER: @115821 What's the point in ordering games for release-day delivery nearly 2 months in advance when you can't honour that preorder? Useless

AMAZON: @627712 Hi, sorry to hear that. Have you received any emails in relation to the pre order? ^JJ

CUSTOMER: @AmazonHelp Nope, pre-ordered 6 weeks ago, and nothing. Chatted to help, and it's out of stock apparently. Pre-ordering from Amazon seems useless.

AMAZON: @627712 Is the order still pending now, or has it been canceled? ^NV

CUSTOMER: @AmazonHelp I cancelled it as I'm getting it from someone else who can actually follow up on their guarantees

AMAZON: @627712 So sorry to hear about this Matt. ^KM",Delivery Issue,Delivery Issue
2583024,6,"AMAZON: @732000 I'm sorry about the inconvenience! Try the steps here to opt-out of Kindle Special Offer text notifications: https://t.co/AHLKaJRbHJ. You can also adjust your Communication Preferences here: https://t.co/aROkoqoswg?. Let us know if this works for you. ^SH

CUSTOMER: @AmazonHelp can't send a text message to 262 966, and nothing in the communication preferences about the text messages. according to the first link it's meant to be U.S. only. please give me an email address to send my mobile number to so I can be unsubscribed.

AMAZON: @732000 We'd like to look into this further with you. When you have a moment, please contact us by phone, chat or e-mail here: https://t.co/EKXRLsnxJu ^AC

CUSTOMER: @AmazonHelp just received SMS marketing in Australia from Amazon, with no opt-out instructions (which is illegal in Australia). How do I opt-out?

AMAZON: @732000 Hello! You can change your marketing preferences using the following link: https://t.co/zveql62izi ^RM

CUSTOMER: @AmazonHelp No info there about sms marketing. Is this SMS actually from Amazon (see screenshot) https://t.co/BxlBZqfO7B",Account / Access / Security,Account / Access / Security
1912586,2,"CUSTOMER: Ya esta llegando el verano y el cuerpo que queria no me llega @116928

AMAZON: @569703 Hola, sin compartir datos de tu cuenta como el número del pedido, ¿Cómo te podemos ayudar? ^AZ",Other / Unclear,Other / Unclear
2817160,4,"CUSTOMER: Wow @115821 guarantees delivery by a certain date by 8 pm and you guessed it. My package doesn’t come today like it was “guaranteed” No update or nothing. What’s the point of Prime if stuff is always getting delayed

AMAZON: @785320 I'm so sorry your order hasn't been delivered, Joseph! Would you tell us who the carrier is and what the current tracking information says? You can view that here: https://t.co/Y5jpI9gRhE  ^KL

CUSTOMER: @AmazonHelp The carrier info says you guys are delivering it. It’s been in chino since Sunday morning. Can’t even get an update to what’s going on. Going on two days past the “guaranteed” delivery date. https://t.co/fWGYkPCU0x

AMAZON: @785320 We'd like to escalate this issue to our transportation department for you! With as much detail as possible (including order and/or tracking number), please provide your information for us here: https://t.co/Bmhn5sIeBh ^BV",Delivery Issue,Delivery Issue
2265589,4,"CUSTOMER: @AmazonHelp which carrier delivers in the Kansas City area for tracking numbers beginning with TBA?

Tracking number: TBA537218175000 shows delivered ""handed to resident."" That did NOT happen. I was home at the time &amp; searched for it as soon as I received notification of delivery

AMAZON: @659472 I'm sorry to hear you haven't received the package! The carrier sounds like Amazon Logistics. Learn more here: https://t.co/X1HWS54pZ9

I'd also like to escalate the delivery trouble further, please send us the order details here: https://t.co/gIoYg5cmGt ^BH

CUSTOMER: @AmazonHelp Thank you! I've submitted the my information.

AMAZON: @659472 Thanks for letting us know, Michael! Please expect a response from us soon. ^JP",Delivery Issue,Delivery Issue
377468,2,"AMAZON: @205570 Guten Morgen! Haben dir per DM geantwortet. Ganz lieber Gruß ^TG

CUSTOMER: @AmazonHelp habe ein Problem, kann mich nicht mehr einloggen, Passwort zurück setzten funktioniert nicht. Habe bereits eine DM geschrieben.",Other / Unclear,Other / Unclear
1135095,10,"CUSTOMER: @120533 ou est le colis? Boite aux lettre vide! Et je vais passer par vos 18 services comme la dernière fois pour que vous le trouviez. https://t.co/w01VEBNJsH

AMAZON: @387416 Bonjour, je vous invite à prendre contact auprès de notre SAV via: https://t.co/hgIrz98cdI afin qu'il fasse le nécessaire.^FT

CUSTOMER: @AmazonHelp c'est la seconde fois en 1 mois. Et je dois encore visiter plusieurs services. L'incompétence vous gagne. (2/2)

AMAZON: @387416 N'ayant pas une visibilité sur votre compte via Twitter, notre SAV est le mieux placé pour vous aider.^FT

CUSTOMER: @AmazonHelp Je sais, merci. 
Je paye un service que vous n'assurez pas, alors j'exprime mon mécontentement. les gens ont le droit de savoir que (1/1)

CUSTOMER: @AmazonHelp Payer son prime n'apporte rien. Les colis sont souvent en retard sur la date donnée, et parfois non livré. (2/2)

AMAZON: @387416 Vos avis et commentaires nous sont importants pour améliorer en continu la qualité des services. Merci de votre compréhension.^MH

CUSTOMER: @AmazonHelp Ma foi, si ça vous fais plaisir... Moi je reste mécontent. Vous irez expliquer à ma nièce pourquoi demain elle n'aura pas de cadeau d'annif.

AMAZON: @387416 Je comprends votre mécontentement et j'en suis navrée. Merci de vous rapprocher de notre SAV pour une solution. ^MA

AMAZON: @387416 Le nécessaire a été fait pour vous faire parvenir le colis dans les délais, cet incident ne dépend aucunement de notre volonté.^MH",Delivery Issue,Payment / Billing
709446,2,"CUSTOMER: @117086 fiz uma compra, mas quero editar ela e aparece a mensagem que não posso editar que é pra entrar em contato com o vendedor

AMAZON: @289635 Se o pedido já saiu para entrega, não pode ser editado Georg. ^JJ",Other / Unclear,Other / Unclear
1146941,7,"CUSTOMER: @AmazonHelp oi, vocês podem me ajudar?

AMAZON: @325013 Com muito prazer J, me diga, como posso lhe ajudar? ^AZ

CUSTOMER: @AmazonHelp recentemente, fiz duas compras na amazon: um livro e o kindle paperwhite
na caso do livro, recebi uma cobrança de R$1 além do preço do livro

CUSTOMER: @AmazonHelp na compra do kindle, recebi outra cobrança extra de R$3
eu queria saber no que consiste esse valores

AMAZON: @325013 (2/2) de compra de R$ 1,00. Essa autorização deverá ser liberada pelo banco, de acordo com suas políticas. ^LG

AMAZON: @325013 Oi, quando você compra na Amazon, verificamos a forma de pagamento com o bnaco e isso pode criar uma autorização (1/2)

AMAZON: @325013 Olá J, recomendo verificar as seguintes informações: https://t.co/xqT7D4hQ3v ^AZ",Digital Content,Digital Content
907034,2,"CUSTOMER: @115817 @115821 looks like my package got ran over or something. Thankfully the ceramic dog bowls inside were fine https://t.co/MysrIzjK68

AMAZON: @303212 I'm sorry to see this! Please help us improve by linking this feedback to your specific order here: https://t.co/LJQBHI6Egm ^BH",Order Management,Order Management
2485529,2,"CUSTOMER: @115830 I ordered something that hasn't arrived. Seller said they'd resend still nothing and they are not responding to my messages through the site..  what can I do??

AMAZON: @709996 I'm so sorry to hear you're having an issue with your order! If the seller is not responding, you can file an A-to-Z Guarantee Claim here: https://t.co/XlpWjiLrx4 Please let us know if you need further assistance. ^RO",Delivery Issue,Delivery Issue
1468364,2,"AMAZON: @460819 I'm sorry the tutorial it isn't working, please contact us here: https://t.co/1oJde6rCLF ^SY

CUSTOMER: @5503 https://t.co/gsiaiG7B4b This tutorial no longer works because changes were made to https://t.co/CadYhqaoRv Could you fix please?",Other / Unclear,Other / Unclear
464354,2,"CUSTOMER: @AmazonHelp bought a gaming headset from you two weeks ago, stopped working. Someone please help

AMAZON: @225414 I'm so sorry your headset stopped working! You can learn how to return your item here: https://t.co/vbR5SvaGPp. ^DG",Return / Refund,Return / Refund
179438,4,"CUSTOMER: @115828 I pre-ordered Battlefront 2 through you, will I be getting a beta code ? @116090 @AmazonHelp

AMAZON: @158267 When did you place the order? ^KM

CUSTOMER: @AmazonHelp Maybe the beginning of the summer? Somewhere around May/June?

AMAZON: @158267 Please contact EA regarding the code. ^MC",Order Management,Order Management
2818569,2,"CUSTOMER: @115850 my friend ordered redmi phone he suppose get cash back as he paid by card everytime he calls they say they have deposited the money but its not in account

AMAZON: @785663 Sorry to know your friend is having trouble receiving the cash back. I'd like to take a closer look into this, please request your friend to share his account details on the link here: https://t.co/GIJyeYqKE0 and we'll look into it. ^PS",Payment / Billing,Payment / Billing
319701,2,"CUSTOMER: アマゾンから注文していない商品が送られてきました。発注日が9月25日となっていますが26日から海外へ出かけたので25日は仕事もあり準備に忙しくサイトに入っていません。理由の覧を間違えて記入してしまいました。送料はかかるのでしょうか？

AMAZON: @192218 リプライ失礼いたします、Amazon公式です。ご注文内容やアカウントを確認のうえご対応させていただきたく存じます。お手数ですが一度以下リンクよりカスタマーサービスにご連絡ください。https://t.co/J6YEizo6qC HM",Other / Unclear,Other / Unclear
1354467,2,"CUSTOMER: @AmazonHelp its says my clothing was delivered but I don’t see them at my door or mailbox :(

AMAZON: @435860 Oh no, Ricardo! Here are some steps to locate a missing package: https://t.co/gvI1F4JywD Please keep us posted. ^KL",Delivery Issue,Delivery Issue
487658,4,"CUSTOMER: So @115821 or @115817 has no issues leaving a $900 package by my door but requests that I reschedule a delivery of a $20 shipment because I wasn’t home?!  #whatthewhat

AMAZON: @231078 I'm sorry to hear this. Have you had a chance to contact the carrier to provide feedback and for available delivery options? ^LI

CUSTOMER: @AmazonHelp I’ll try to pick it up from their offices if that’s possible, will check with them thanks

AMAZON: @231078 Please keep us informed about the outcome.^PJ",Delivery Issue,Delivery Issue
1380869,2,"CUSTOMER: Amazonで頼んだやつヒビ入ってた、、、
ディスクには影響ないと思うからいいけどさ、、、 https://t.co/lVadH2g4Lj

AMAZON: @441422 ご迷惑をおかけしております。在庫次第とはなりますが、商品の交換や返品、ケースの交換等の対応を承っております。対応ご希望の場合は以下リンクよりカスタマーサービスにご連絡ください。https://t.co/J6YEizo6qC (24時間年中無休対応) HM",Other / Unclear,Other / Unclear
